Name,Tokens
Baddek,asks king hard stating travel appreciation tng ridden uld tabantha away like wonder see wife good connection bone reach special describes outskirt perfectly due fact praising easy along horse despite girl new stallion wild carrot behavior saying d tinted meaningful addiction answer great sit mechanical grasp claiming adopting swim park however never expect make comfortable mountain nearby paragliders sword carrying side heard handling also member serenne change work comment addition seek many form bridge pet glass well may raining anything ride need dismissive traveler know another important tip ruin long spoken commenting gear akkala different without much registered die breach belief rest surprisingly bond road thing dream scared elastic shelter exist talk always prince already ask world stalhorse tell someday mind breath worker woodland direction moment type afraid way quiz color giant speaking fit animal list shield though love come reveal demise leaving left fly state saddle follow n simply others hebra care recite could revealed back name somewhere false character sanidin style highland mare one give wooden trick difficulty reinforces since companion else occasionally informs bridle four time question stable say white take claim running south existence spend 
Bamboo,shield snowfield affection referring belonging travel radical saddle like n two hebra mountain path gnarly character lot surg serenne totally outfitted horse many breath wild go bridle excellent w traveler stable standard 
Banji,asks offer aunt tending resident nonstop caring tabantha away vah warns constant recently cataloging thinking plateau told stay cutest sign horse visit asked trip wild thundra soon cargo several disappearance completed man bog day pas great claiming watch make must kingdom goat mountain appeared storm also run rain satori comment many bridge well raining bored traveler legend inside child year living explain belief thunderstorm yet ludfo taking east trial thing beast ally hyrule god tell happy beyond north breath worker direction medoh west lie speaks night chore love come divine race cleared story rito prompted cloud village character greet disappeared river area sleep lord since stable white south considers 
Baumar,offer caught travel appreciation wonder affectioe good professional lot confessing horse snowing knight wild rumor excellent almost surfer within radical two make ding opponent surf enjoys break refers mountain sword carrying gnarly heard also surg serenne rain weather climb remember disappointed term go pair talented traveler know supposed storming tip additionally difficult long child wiped different without waiting example neck lost excited ally hyrule forth saved breath direction type w depending shield legendary snowfield baumer n fisherman hebra back head name character trouble totally got one give castle called recall worthy occasionally time stable claim used 
Bayge,offer standing harder rock hard gut ancestral exercise goron fire like see wonder howl darb abandoned would spot gorons due even attempt pursuing sign along dlc sacred mighty wild gone sitting strategize collapse disappearance declared passioe core saying ballad reveals atop enough claiming however found eldest training two must collecting make feat notice city life completes endurance test join ground lava point eldin also explains wherein happily comment part climb become involved super check disappointed recognizes know strength difficult hotter withstand upon southern commenting course sharped place directs clearing much belief rest mount honorary allows platform contest beating champion path pond northern stand main nabooru last blood breath house traveled longest shrine song walk longer appoints gerudo active speaks rupee reveal return brother left challenge train therefore decides others winner heat fourth pack pinnacle character refuse approach ex highland let quest one ancient skill ring called canyon instensity really time clear said take step consisting say used 
Beedle,identity overworld green twenty difference ship see range item average turned game business stay medal necry enter concept despite land plot surprised provide sitting pear include admiring weight close d apply gemstone masked buy inform cave regular whilst never make unimportant potion reward title beginning activating member demeanor change crenel remember ware series location merchant container airp altered fish something crew heart heaven happens yell wind stone wide allows picked united thing receive ammunition p ask hyrule main extra appearance instruction supporting gladly generator system hero currently exert receives stock attitude assumes electric night learning merely perceptibility come rupee drive return dramatic fruit initial 3 navi quickly milk instead ocean nintendo village silver back allow mutter discount rewg pirate let bottle buying dismiss leave accommodate called else red air question stable asserts card previous offer specific king becomes according travel actually rarer uld fire picori bloom replace leading membership airship manned profit search operating deepwood hourglass noon basic unfortuely pedaling elixir phantom first falling earn loctions look gone recurring available owns water prior great market cap altere deal people significance two nearby yield favorite blue also entrepreneurial work comment blowing sneak still seems may platinum luck legend affordable inside catch spoil utilized bomb dangerous much incorporates product especially assistant attention someone obtains barrel appears wisdom although tetra breath exchange house shrine including 10 type shaped pico three expensive speaks train stop useful rant required certain town quest material give yellow spirit minute energetic chart expand progress skyward empty pkeeper used walking seen purpose rock sky sometimes saving mostly except level unlike sale carry businessman repeat good whistle store mt even chain forest stall attempt along various valuable wild booklet 10pm hold midnight help minish zelda reappear ireland sit festival across gold working asleep possession order weekend ten sword run set met additional part milestone replenish trade acting need bug know important food skyloft random gear horned customer obtain different half without compared spent compliment grow picolyte passing asking dream r interest decided line strich pitch track scrub hyoi door beetle liquid unaffected known clock opening earth spire piece waker trap state acquires often weekday begin earning element selection somewhere name character denies wallet thirty refuse response joyful play resting missing requires generous person cyclone local clear includes white locate asks stating belongs gratitude orange like unmatched vip punish release post special frequent caged fact collect selling diction succeeds ck visit entices flame forty salvatore effort 10am hire bait trading settle throughout jar arrow increased patron claiming boat appear mentioning found square kingdom notice small point alter station request gust balloon manager lap save ego sea many certainly power well purchased price anything mineral able backpack foot another young upon operates around expanded use bicycle voice id flying mistakenly discovered every talk crystal lon world rare guarantee inventory fi percent legendary letter love retire fly sell island 5 complimentary decides get bag colossus 500 demonstrated vocabulary courage gem allowing purchasing brings prized mail terry sends treasure fall one extent want covering dust time add say claim opened 
Bolson,asks offer lower bargain per uld carry retion coming call carpenter would afford construction housewarming business expansion property sympathize furniture striped adapted front sign along boy 100 allusion revised surrounding whose conclude various wild speech sound 000 weapon initially hire version jacket boring prance initiate buy craftsman provides deal however working torso people fulfilling starting characteristic order break cannot serious responsibility son life refers nearby tarrey flower feminine side trait blue request kakao also demeanor work comment addition additional demolish leaf bridge declare become well attire disappointed perky operation price tasking need cover men present 50 another accept additionally crew spoken inside behind agrees around akkala characteristically wait theme explain decide medium angry mount taking cease wondering attention someone japanese pond excited company ocarina confused president tree recognize speak monster afterwards tiger appears tell age demolition breath exchange gay house lighting 9 door reference furnish firly hateno wood pm speaks shield decorated night home rupee fully housing perfect notably armor whether aimlessly end cost understand pay 3 n cross wearing stop decorates recite instead cute gift village sigure dance name homeowner stereotypical character establish bring properly retained refurbishment likely 30 town quest bow one employ leave pre bundle sleep lecture vacant bed english hardship 05 time collar realizes leg wrapping constructed adding profession 
Brigo,asks offer managed seen stating famous uld like laugh urn beam reflex good abandoned would describes deserted event dueling doom wander plateau careless golden better glowing talking ck despite asked e wild kill lightning conversation almost start man wields referring great seeing briggs enough however chat peak found people kevin guardian notice gamble tired closer life carelessly nearby ground telling point side jumping blue kakao also patrolling proxim surrounded change met comment convincing many bridge light still climb spear right may go face traveler continues cliff gave chased important moving california long something spoken think heart place around broken getting belief popped jump named asking thing overturned exclaims necluda confused keeping careful patrol ask world monster hyrule lucky saved tell protect although breath direction shrine hero shaped wood attack west matter though started come officer fast end bad n stop cause high based village worse case character tower enjoyable eye route got omen ancient escape highway feel castle since surprise retired view hundred time gate said say stable used 
Cambo,purchase offer asks thoroughly quality travel vegetal eying eating bought carry insect see warns reach abandoned business due western plan potential elixir first horse ure despite asked donkey apologetic enthusiastic wild acknowledges meal share making fear higher day pas justice avoid however never two must sits notice couple poisoning sword reward kakao entrance also possibility weather delight met addition part leaf may putting ware whole mushroom traveler merchant strength cooking tip long food behind merchandise agrees prefers place customer understands wait belief enemy rest allows product later every tree ask monster saved meat launching suggests wetland breath direction stuborn habit stock explaions riverside stopping traveling speaks shield clever sell ished directly n rainy hunter story pack reminds village back destruction raw character approach thank late give since calm want thanks occasionally realizes stable used dinner 
Chabi,asks popping parade according normal carry see skull good bone search camp fact following fighting forest better fang first despite interested note true nowhere wild rumor help share making attacked source throughout bog pas however found make kingdom situation ground anywhere sword reward heard beginning visited also explains serenne extract save fight insist taste need shadow plain traveler know location hamlet difficult food meet ruin rowan might embarrassed doubt obsessed akkala much made ludfo road east always p hyrule monster researching someday breath gotten house track shaped spotted simpler attack fork west shield night though whether given n lake hunter story often swears near research character fall thank give regularly trusted want person time stable south considers 
