name,line
 All, That's a fake-ass catchphrase right there.
'Rick D716-B,And I’d just like to say that prescription drugs are great and you should buy them now.
Abradolph Lincoler,"Rick, you brought me into this world, a suffering abomination tortured by the duality of its being., But I shall finally know peace when I watch the life drain from your wretched body! ,I have no quarrel with you, boy., It's just -- l-look, I-I don't know how you thought I meant it, but... ,Look, I'm half-Abraham Lincoln, so --,Well, no, but... You know?,You guys have any aspirin?,Hey, man, I'm not going anywhere. I'm injured., It's weird, 'cause I definitely think that all men are created equal. But, at the same time --,Wait. Something's not right.,Get the crystals! I'll handle the beast! Prepare to be emancipated from your own inferior genes! ,Mein journey is over, Morty.  I have something important to tell you.,Revenge.,What?!,Please, stop!,I don't understand. Are you enjoying this? Do you like this?"
Agency Director,"What is it?,Where is it?,We have 34 armed guards, and we can't kill a pickle?,Put him on, and locate the phone he's using.,Your mere presence in this building violates international law.,And how is that?,Shut your mouth and do your jobs, you fucking children!,Some of my men are calling you ""Solen'ya"",Ah.,He's just a pickle!,He's not the only one.,Then Katarina is a prisoner. Perhaps I could arrange her escape, as well. She lives, Jaguar.,Do it. Okay, you win, Pickle Man. I'm unsealing the building.,Pickle Man, there's $100 million worth of bonds in a safe on level two. I'll give you the combination.,Shut up and call me a helicopter, you prick! Do we have a deal?!,Jaguar's daughter is dead.,Jaguar was an animal. You're an intelligent pickle. We can do business.,Is the helicopter here?,Tell them we were robbed.,Farewell, Solen'ya."
Alan,"I wish he had the ability to check is attitude.,All aboard!,I could've just used a ghost train.,Man, fuck you.,Son of a steam engine! They're all dead!,Give me one good reason why I shouldn't crush your windpipe!,I told you not to invite this mummified motherfucker back!,Nothing?! We exterminated a planet!,If you lay those deaths at my doorstep one more time...,Nice shot.,You two make quite a team.,Yeah, I guess.,But you guys have always had a... an unspoken bond.,I mean, really unspoken. Like, ""let's-not-tell-my-husband"" unspoken.,Sure, but were we married when you two were ""stranded"" on Delphi 6 for three days? Because I sensed something was weird when you can back. But what do I know about sensitivity? I'm just a phantom train conductor. You're the pile of ordinary bugs that fucked my wife!,Did it feel good?! Did you like his six million wriggling legs more than my tragedy-stricken, half-ghost, half-tumescent penis?!,WHAT?!,Yeah?,ALL ABOOOOOOARD, MOTHERFUCKER!!!"
Alejandro,"Hey Rick.,Hey Rick, it's Alejandro speaking. Um, so we asked ourselves internally, we asked ourselves over here, “Okay, what does a pancreas do?”  And the answer was, does it make pirates? No. It makes insulin, you know? So we’re starting with a new—"
Alexander,"Hey, wait for me! ,Waaaah! Don't let me die!,My name is...  ALEXANDEEEEEEEER!"
Alien," Holy shit! This guy’s taking Roy off the grid!  This guy doesn’t have a social security number for Roy!,Complimentary psychological detox? Removes all your cognitive toxins,  purifies your system.,We’re not on  commission. We get  paid by the hour. There’s no incentive really-,I hope you both found that detox sufficiently relaxing.,  It’s all good.,Believe me, man, I’ve been working here a long time. I get it."
Alien Doctor,"Relax Mr. Smith, you're in an alien hospital. I mean to you it's an alien hospital, to me you're just in a hospital. There's another matter we need to discuss with you.,It's perfect! The configuration of veins, the ratio of thickness to elasticity, the delicate asymmetry of what you call ""your balls"". With relatively few adjustments, your genitals can be molded into a working heart for the most important man in the universe!,So, we'll be detaching your sexual organ at the base by making incisions here,here, and here.,Leaving a partial length of severed urethra to be threaded through-,Oh, do you think she'll be okay with this?,Smith family?,I wanted to let you all know that Jerry is doing just fine.,But, ah, Mrs. Smith, could you come with me?,His penis will be replaced with a sophisticated prosthetic, now there's a wide range of options to chose from, they're all in this catalog.,I understand your feelings, Mrs. Smith.,There are those that believe, Mr. Smith, that Shrimply Pibbles represents love between all life. That his fate will determine the fate of hundreds of billions of sentient life forms.,Hundreds of billions."
Alien man,Race war!
Alien woman,It’s the crowmad!
All,"Yay! Cousin Nicky!,Mr. Beauregard!,Yeah! Oh, thank god!,Remember the barbecue. Remember the barbecue. Remember the barbecue.,Yeah.,Yeah!  Frankenstein!,Yes.,Yes.,*shaking each others’ hands* Thank you. You're welcome.,Hey, hi Rick, how's it goin’. , Love. Connection. Experience., Come together. With love. connection, experience! "
All Meeseeks,"Ooooohhh!,He's got it! That's a lower handicap stro-o-ke!"
All Mortys,"Oh man... I don't feel good.,Wait, who said that?,But I thought there were infinite timelines.,Oh, my God!,Well you don't exactly make it easy, Rick!,Rick what the hell are you doing?,Whoa whoa!,Well if all of me knocked out all the Ricks, and you peed in all of your pants, doesn't that mean that we're all synchronized?,Okay... so from now on, whatever we do we have to be certain.,I think I'm certain we're F'd in the A.,We put you in a dog crate because you were acting crazy, and you caused another time fracture.,W-what're you doing?,If you could get out that whole time why didn't you?,You know, geez Rick, y—y—you're really tearing into me right now. You know, words hurt.,Oh way to go, Rick.,Hooray!,Raaaaugh!"
