Word,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
abacus,0,0,0,0,0,0,0,0,0,1
abandon,0,1,0,0,0,1,0,1,0,0
abandoned,0,1,1,0,0,1,0,1,0,0
abandonment,0,1,1,0,0,1,0,1,1,0
abba,1,0,0,0,0,0,0,0,0,0
abbot,0,0,0,0,0,0,0,0,0,1
abduction,0,1,0,0,0,1,0,1,1,0
aberrant,0,1,0,0,0,0,0,0,0,0
aberration,0,1,0,0,1,0,0,0,0,0
abhor,0,1,1,0,1,1,0,0,0,0
abhorrent,0,1,1,0,1,1,0,0,0,0
ability,1,0,0,0,0,0,0,0,0,0
abject,0,1,0,0,1,0,0,0,0,0
abnormal,0,1,0,0,1,0,0,0,0,0
abolish,0,1,1,0,0,0,0,0,0,0
abolition,0,1,0,0,0,0,0,0,0,0
abominable,0,1,0,0,1,1,0,0,0,0
abomination,0,1,1,0,1,1,0,0,0,0
abort,0,1,0,0,0,0,0,0,0,0
abortion,0,1,0,0,1,1,0,1,0,0
abortive,0,1,0,0,0,0,0,1,0,0
abovementioned,1,0,0,0,0,0,0,0,0,0
abrasion,0,1,0,0,0,0,0,0,0,0
abrogate,0,1,0,0,0,0,0,0,0,0
abrupt,0,0,0,0,0,0,0,0,1,0
abscess,0,1,0,0,0,0,0,1,0,0
absence,0,1,0,0,0,1,0,1,0,0
absent,0,1,0,0,0,0,0,1,0,0
absentee,0,1,0,0,0,0,0,1,0,0
absenteeism,0,1,0,0,0,0,0,0,0,0
absolute,1,0,0,0,0,0,0,0,0,0
absolution,1,0,0,0,0,0,1,0,0,1
absorbed,1,0,0,0,0,0,0,0,0,0
absurd,0,1,0,0,0,0,0,0,0,0
absurdity,0,1,0,0,0,0,0,0,0,0
abundance,1,1,0,1,1,0,1,0,0,1
abundant,1,0,0,0,0,0,1,0,0,0
abuse,0,1,1,0,1,1,0,1,0,0
abysmal,0,1,0,0,0,0,0,1,0,0
abyss,0,1,0,0,0,1,0,1,0,0
academic,1,0,0,0,0,0,0,0,0,1
academy,1,0,0,0,0,0,0,0,0,0
accelerate,0,0,0,1,0,0,0,0,0,0
acceptable,1,0,0,0,0,0,0,0,0,0
acceptance,1,0,0,0,0,0,0,0,0,0
accessible,1,0,0,0,0,0,0,0,0,0
accident,0,1,0,0,0,1,0,1,1,0
accidental,0,1,0,0,0,1,0,0,1,0
accidentally,0,0,0,0,0,0,0,0,1,0
accolade,1,0,0,1,0,0,1,0,1,1
accommodation,1,0,0,0,0,0,0,0,0,0
accompaniment,1,0,0,1,0,0,1,0,0,1
accomplish,1,0,0,0,0,0,1,0,0,0
accomplished,1,0,0,0,0,0,1,0,0,0
accomplishment,1,0,0,0,0,0,0,0,0,0
accord,1,0,0,0,0,0,0,0,0,1
account,0,0,0,0,0,0,0,0,0,1
accountability,1,0,0,0,0,0,0,0,0,1
accountable,1,0,0,0,0,0,0,0,0,1
accountant,0,0,0,0,0,0,0,0,0,1
accounts,0,0,0,0,0,0,0,0,0,1
accredited,1,0,0,0,0,0,0,0,0,1
accueil,1,0,0,0,0,0,0,0,0,0
accurate,1,0,0,0,0,0,0,0,0,1
accursed,0,1,1,0,0,1,0,1,0,0
accusation,0,1,1,0,1,0,0,0,0,0
accusative,0,1,0,0,0,0,0,0,0,0
accused,0,1,1,0,0,1,0,0,0,0
accuser,0,1,1,0,0,1,0,0,0,0
accusing,0,1,1,0,0,1,0,0,0,0
ace,1,0,0,0,0,0,0,0,0,0
ache,0,1,0,0,0,0,0,1,0,0
achieve,1,0,0,0,0,0,1,0,0,1
achievement,1,0,0,1,0,0,1,0,0,1
aching,0,1,0,0,0,0,0,1,0,0
acid,0,1,0,0,0,0,0,0,0,0
acknowledgment,1,0,0,0,0,0,0,0,0,0
acquire,1,0,0,0,0,0,0,0,0,0
acquiring,1,0,0,1,0,0,0,0,0,0
acrobat,1,0,0,0,0,1,1,0,0,1
action,1,0,0,0,0,0,0,0,0,0
actionable,0,1,1,0,1,0,0,0,0,0
actual,1,0,0,0,0,0,0,0,0,0
acuity,1,0,0,0,0,0,0,0,0,0
acumen,1,0,0,0,0,0,0,0,0,0
adapt,1,0,0,0,0,0,0,0,0,0
adaptable,1,0,0,0,0,0,0,0,0,0
adder,0,1,1,0,1,1,0,1,0,0
addiction,0,1,0,0,0,0,0,0,0,0
addresses,1,0,0,1,0,0,0,0,0,0
adept,1,0,0,0,0,0,0,0,0,0
adequacy,1,0,0,0,0,0,0,0,0,0
adhering,0,0,0,0,0,0,0,0,0,1
adipose,0,1,0,0,0,0,0,0,0,0
adjudicate,0,1,0,0,0,1,0,0,0,0
adjunct,1,0,0,0,0,0,0,0,0,0
administrative,0,0,0,0,0,0,0,0,0,1
admirable,1,0,0,0,0,0,1,0,0,1
admiral,1,0,0,0,0,0,0,0,0,1
admiration,1,0,0,0,0,0,1,0,0,1
admire,1,0,0,0,0,0,0,0,0,1
admirer,1,0,0,0,0,0,0,0,0,0
admissible,1,0,0,0,0,0,0,0,0,1
admonition,0,1,0,0,0,1,0,0,0,0
adorable,1,0,0,0,0,0,1,0,0,0
adoration,1,0,0,0,0,0,1,0,0,1
adore,1,0,0,1,0,0,1,0,0,1
adrift,0,1,0,1,0,1,0,1,0,0
adulterated,0,1,0,0,0,0,0,0,0,0
adultery,0,1,0,0,1,0,0,1,0,0
advance,1,0,0,1,0,1,1,0,1,0
advanced,1,0,0,0,0,0,0,0,0,0
advancement,1,0,0,0,0,0,0,0,0,0
advantage,1,0,0,0,0,0,0,0,0,0
advantageous,1,0,0,0,0,0,0,0,0,0
advent,1,0,0,1,0,0,1,0,0,1
adventure,1,0,0,1,0,0,0,0,0,0
adventurous,1,0,0,0,0,0,0,0,0,0
adversary,0,1,1,0,0,0,0,0,0,0
adverse,0,1,1,0,1,1,0,1,0,0
adversity,0,1,1,0,0,1,0,1,0,0
advice,0,0,0,0,0,0,0,0,0,1
advisable,1,0,0,0,0,0,0,0,0,1
advise,1,0,0,0,0,0,0,0,0,1
advised,0,0,0,0,0,0,0,0,0,1
adviser,1,0,0,0,0,0,0,0,0,1
advocacy,1,0,1,1,0,0,1,0,0,1
advocate,0,0,0,0,0,0,0,0,0,1
aesthetic,1,0,0,0,0,0,0,0,0,0
aesthetics,1,0,0,0,0,0,1,0,0,0
affable,1,0,0,0,0,0,0,0,0,0
affection,1,0,0,0,0,0,1,0,0,1
affiliated,1,0,0,0,0,0,0,0,0,0
affirm,1,0,0,0,0,0,0,0,0,1
affirmation,1,0,0,0,0,0,0,0,0,0
affirmative,1,0,0,0,0,0,0,0,0,0
affirmatively,1,0,0,0,0,0,0,0,0,1
afflict,0,1,0,0,0,1,0,1,0,0
afflicted,0,1,0,0,0,0,0,0,0,0
affliction,0,1,0,0,1,1,0,1,0,0
affluence,1,0,0,0,0,0,1,0,0,0
affluent,1,0,0,0,0,0,0,0,0,0
afford,1,0,0,0,0,0,0,0,0,0
affront,0,1,1,0,1,1,0,1,1,0
afraid,0,1,0,0,0,1,0,0,0,0
aftermath,0,1,1,0,1,1,0,1,0,0
aftertaste,0,1,0,0,0,0,0,0,0,0
aga,1,0,0,0,0,1,0,0,0,1
aggravated,0,1,1,0,0,0,0,0,0,0
aggravating,0,1,1,0,0,0,0,1,0,0
aggravation,0,1,1,0,1,0,0,0,0,0
aggression,0,1,1,0,0,1,0,0,0,0
aggressive,0,1,1,0,0,1,0,0,0,0
aggressor,0,1,1,0,0,1,0,0,0,0
aghast,0,1,0,0,1,1,0,0,1,0
agile,1,0,0,0,0,0,0,0,0,0
agility,1,0,0,0,0,0,0,0,0,0
agitated,0,1,1,0,0,0,0,0,0,0
agitation,0,1,1,0,0,0,0,0,0,0
agonizing,0,1,0,0,0,1,0,0,0,0
agony,0,1,1,0,0,1,0,1,0,0
agree,1,0,0,0,0,0,0,0,0,0
agreeable,1,0,0,0,0,0,0,0,0,1
agreed,1,0,0,0,0,0,0,0,0,1
agreeing,1,0,0,0,0,0,0,0,0,1
agreement,1,0,0,0,0,0,0,0,0,1
agriculture,1,0,0,0,0,0,0,0,0,0
aground,0,1,0,0,0,0,0,0,0,0
ahead,1,0,0,0,0,0,0,0,0,0
aid,1,0,0,0,0,0,0,0,0,0
aiding,1,0,0,0,0,0,0,0,0,0
ail,0,1,0,0,0,0,0,1,0,0
ailing,0,1,0,0,0,1,0,1,0,0
aimless,0,1,0,0,0,0,0,0,0,0
airport,0,0,0,1,0,0,0,0,0,0
airs,0,1,0,0,1,0,0,0,0,0
akin,0,0,0,0,0,0,0,0,0,1
alabaster,1,0,0,0,0,0,0,0,0,0
alarm,0,1,0,0,0,1,0,0,1,0
alarming,0,1,0,0,0,1,0,0,1,0
alb,0,0,0,0,0,0,0,0,0,1
alcoholism,0,1,1,0,1,1,0,1,0,0
alertness,1,0,0,1,0,1,0,0,1,0
alerts,0,0,0,1,0,1,0,0,1,0
alien,0,1,0,0,1,1,0,0,0,0
alienate,0,1,1,0,1,0,0,0,0,0
alienated,0,1,0,0,0,0,0,1,0,0
alienation,0,1,1,0,1,1,0,1,0,0
alimentation,1,0,0,0,0,0,0,0,0,0
alimony,0,1,0,0,0,0,0,0,0,0
alive,1,0,0,1,0,0,1,0,0,1
allay,1,0,0,0,0,0,0,0,0,0
allegation,0,1,1,0,0,0,0,0,0,0
allege,0,1,0,0,0,0,0,0,0,0
allegiance,1,0,0,0,0,0,0,0,0,1
allegro,1,0,0,0,0,0,0,0,0,0
alleviate,1,0,0,0,0,0,0,0,0,0
alleviation,1,0,0,0,0,0,0,0,0,0
alliance,0,0,0,0,0,0,0,0,0,1
allied,1,0,0,0,0,0,0,0,0,1
allowable,1,0,0,0,0,0,0,0,0,0
allure,1,0,0,1,0,0,1,0,1,0
alluring,1,0,0,0,0,0,0,0,0,0
ally,1,0,0,0,0,0,0,0,0,1
almighty,1,0,0,0,0,0,0,0,0,0
aloha,1,0,0,1,0,0,1,0,0,0
aloof,0,1,0,0,0,0,0,0,0,0
altercation,0,1,1,0,0,0,0,0,0,0
amaze,0,0,0,0,0,0,0,0,1,0
amazingly,1,0,0,0,0,0,1,0,1,0
ambassador,1,0,0,0,0,0,0,0,0,1
ambiguous,0,1,0,0,0,0,0,0,0,0
ambition,1,0,0,1,0,0,1,0,0,1
ambulance,0,0,0,0,0,1,0,0,0,1
ambush,0,1,1,0,0,1,0,0,1,0
ameliorate,1,0,0,0,0,0,0,0,0,0
amen,1,0,0,0,0,0,1,0,0,1
amenable,1,0,0,0,0,0,0,0,0,0
amend,1,0,0,0,0,0,0,0,0,0
amends,1,0,0,0,0,0,0,0,0,0
amenity,1,0,0,0,0,0,0,0,0,0
amiable,1,0,0,0,0,0,0,0,0,0
amicable,1,0,0,0,0,0,1,0,0,0
ammonia,0,0,0,0,1,0,0,0,0,0
amnesia,0,1,0,0,0,0,0,0,0,0
amnesty,1,0,0,0,0,0,1,0,0,0
amortization,0,0,0,0,0,0,0,0,0,1
amour,1,0,0,1,0,0,1,0,0,1
amphetamines,0,1,0,0,1,0,0,0,0,0
amuse,1,0,0,0,0,0,1,0,0,0
amused,1,0,0,0,0,0,1,0,0,0
amusement,1,0,0,0,0,0,1,0,0,0
amusing,1,0,0,0,0,0,1,0,0,0
anaconda,0,1,0,0,1,1,0,0,0,0
anal,0,1,0,0,0,0,0,0,0,0
analyst,1,0,0,1,0,0,0,0,0,1
anarchism,0,1,1,0,0,1,0,0,0,0
anarchist,0,1,1,0,0,1,0,0,0,0
anarchy,0,1,1,0,0,1,0,0,0,0
anathema,0,1,1,0,1,1,0,1,0,0
ancestral,0,0,0,0,0,0,0,0,0,1
anchor,1,0,0,0,0,0,0,0,0,0
anchorage,1,0,0,0,0,0,0,1,0,0
ancient,0,1,0,0,0,0,0,0,0,0
angel,1,0,0,1,0,0,1,0,1,1
angelic,1,0,0,0,0,0,1,0,0,1
anger,0,1,1,0,0,0,0,0,0,0
angina,0,1,0,0,0,1,0,0,0,0
angling,0,1,0,1,0,0,0,0,0,0
angry,0,1,1,0,1,0,0,0,0,0
anguish,0,1,1,0,0,1,0,1,0,0
animate,1,0,0,0,0,0,0,0,0,0
animated,1,0,0,0,0,0,1,0,0,0
animosity,0,1,1,0,1,1,0,1,0,0
animus,0,1,1,0,0,0,0,0,0,0
annihilate,0,1,1,0,0,1,0,0,0,0
annihilated,0,1,1,0,0,1,0,1,0,0
annihilation,0,1,1,0,0,1,0,1,0,0
