name,line,season no.,episode no.
Jerry,"Steve, I just got a weird e-mail. Did you buy us airline tickets?",2,4
Uncle Steve,"Aw shoot, it was supposed to be a surprise! I wanted to thank you for letting me live here all this time, so I'm treating the family to a vacation!",2,4
Beth,"Steve, you're so sweet!",2,4
Morty,Thanks Uncle Steve!,2,4
Summer,Best uncle ever!,2,4
Uncle Steve,"Look out world, the Smith family is goin' to Paris!",2,4
Summer, Yeah! Awesome!,2,4
Jerry,"Rick, I don't like glowing rocks in the kitchen trash.",2,4
Rick,"Well, I don't like your unemployed genes in my grandchildren, Jerry. But life is made of little concessions.",2,4
Jerry,"I, you know what, I-",2,4
Uncle Steve,You're gonna land on your feet Jer. Some company out there's gonna thank they're lucky stars they hired my little brother.,2,4
Rick,Who the fuck are you?,2,4
Jerry,"My goofy brother Steve. He's been living here almost a year now, are you losing your mind?",2,4
Uncle Steve,Hey someone's been spending too much time around glowing rocks am I right? ,2,4
Morty,"What the hell, Rick? What the hell?",2,4
Rick,"Everybody just relax for a second. There's no such thing as an ""Uncle Steve."" That is an alien parasite.",2,4
Jerry,But I've known him my whole life!,2,4
Rick,"No, you haven't Jerry. These telepathic little bastards, they embed themselves in memories they use those to multiply, spread out, and take over planets. It's disgusting.",2,4
Morty,Steve wasn't real?,2,4
Rick,"He's a real piece of shit! This is a big one, someone probably tracked in last week on the bottom of their shoe or on a piece of alien fruit.",2,4
Summer,Someone?,2,4
Rick,"Get off the high road, Summer. We all got pink eye because you won't stop texting on the toilet.",2,4
Morty,But Uncle Steve taught me how to ride a bike.,2,4
Rick,"No, ""Steve"" put that memory in your brain so he could live in your house, eat your food, and multiply. We could be infested with these things, so we gotta keep an eye out for any zany, wacky characters that pop up.",2,4
Mr. Poopybutthole,"Ooh wee, whatever you want Rick! We're here to help!",2,4
Rick,Thanks Mr. Poopybutthole. I always could count on you.,2,4
Rick,"Alright, there's six of us and that's it. Me, Morty, Jerry, Beth, Mr. Poopybutthole, and Summer.",2,4
Mr. Poopybutthole,Maybe you got the first one in time Rick!,2,4
Rick,Can't afford to chance it.,2,4
Beth,"Dad, why does our house have blast shields?",2,4
Rick,"Trust me, Beth, you don't wanna know how many answers that question has.",2,4
Poopybutthole,"Ooh, gosh, it feelsclaustrophobic! Reminds me of that time we all got stuck in the elevatortogether. Y-- remember that? After the Hulk musical?",2,4
Beth,"Jerry, buttons don't workbetter if you hit them harder, and foam fists don't make you strong.",2,4
Jerry,I know. Friends make youstrong. I watched the same musical you did.,2,4
Rick,Why couldn't I bring my portal gun?,2,4
Morty,"Why did all the drinks have to be extra large? Oh, the Hulk. I just got that.",2,4
Summer,"Just pee your pants. I did it the minute we got stuck.  Oh, oh, yeah, yeah, shame me. At least when I'mdisgusting, it's on purpose.",2,4
Mr. Poopybutthole,"Oh, y'all, we're gonnabe fine. I've always been here for you guys, and I always will be. ",2,4
Nicky,Somebody call for repairs?,2,4
All,Yay! Cousin Nicky!,2,4
Nicky,"It's me, Cousin Nicky. I'm walkin' here! I mean, I'm not. I'm crouched in the elevatorshaft, but hey, I'm walkin' here! ",2,4
Nicky,"It's true. We really do get into some crazy situations as a family, mostly when we're cooped up like this. Hey, maybe Mr. Poopypants is right. L-let's get some fresh air.",2,4
Morty,"Come on, cousin Nicky. Youheard Rick. We have to stay quarantined until we know that there's no more of these things.",2,4
Nicky,"I hear you, Morty. Back inBrooklyn, we got a sayin' -- ""we're walkin' here!"" ",2,4
Jerry,Nicky! ,2,4
Nicky,Oh!  ,2,4
Morty,What the...? Cousin Nicky was a parasite?!,2,4
Rick,"Six, Morty! There's supposed to be six of us! If there's seven, then that means somebody's not real.",2,4
Beth,But how did you know it was Nicky?,2,4
Rick,I guessed. That's why I aimed for his shoulder.,2,4
Beth,So we can't trust any of our memories now? Nicky was the reason we found that old nazi submarine. Did that not even happen?,2,4
Jerry,"Well, of course it happened.",2,4
Nazi,"Now that I possess the mighty staff of Rah-gubaba, the world will tremble before the Fourth Reich!",2,4
Morty,"This is the last time I ask you for help on my history final, Rick.",2,4
Nicky,"Hey, we got a word for Nazis back in Brooklyn, pal.",2,4
Nazi,"I'm comfortable being called a Nazi. You think there's some other word that will hurt my feelings?  Yeah. Think before you talk shit. Rah-gubaba, help me kill America! ",2,4
All,Mr. Beauregard!,2,4
Mr. Beauregard,"After due consideration, I have elected not to retire.",2,4
All,"Yeah! Oh, thank god!",2,4
Mr. Beauregard,"Now, I believe someone has a final exam to attend. Set a course for Morty's high school. ",2,4
Mr. Beauregard,"Perhaps I'm biased, but if that story never happened, then I wouldn't still be the family butler.  dare to dream.",2,4
Rick,Wait.,2,4
Summer,"And if Mr. Beauregard wasn't our butler, it's safe to say the family'd be in a hell of a lot of trouble. ",2,4
Rick,No! Don't flashback!,2,4
Summer,You're just gonna make more swelling.,2,4
Beth,"Don't worry, Jerry. Just relax. We called the fire department.",2,4
Jerry,You know they won't come here anymore. ,2,4
Mr. Beauregard,Marmalade is served. ,2,4
Frankenstein,I guess I take back what I said about British cuisine. ,2,4
Rick,Take that!,2,4
Sleepy Gary,We're trying to sleep.,2,4
Morty,I don't want to go to the dance alone.,2,4
Mr. Beauregard ,"Then perhaps, you shouldn't.",2,4
Beth,Aww. Mr. Beauregard.,2,4
Mr. Beauregard,"Shall we, master Morty?",2,4
Morty,We shall.,2,4
Beth,"Oh, wait, don't leave without letting Photography Raptor take a picture.  ",2,4
Rick,"Everybody stop remembering! These parasites are like bed bugs, and every flashback is another mattress. Look! There's only supposed to be six people in this house.",2,4
Rick,"No! Uh, the fact that I wrote this number down means that there's four parasites.",2,4
Frankenstein,"You sure about that, Rick?",2,4
Mr. Beauregard,"Begging your pardon, master Rick, but I seem to recall a great deal of confusion surrounding that number.",2,4
Rick,"All right, there's six of us,  and that's it. Me, Morty, Jerry, Beth, Mr. Poopybutthole, Frankenstein, Sleepy Gary, Photography raptor, Mr. Beauregard, and Summer.",2,4
Beth,"Uh, dad, that's like 10 people.",2,4
Rick,"6, 10, what's the difference? I just love the number 6 for no reason! Where's my pencil at?",2,4
Pencilvester,"Right here, Rick! Use me!",2,4
Rick,"Oh, thanks, Pencilvester!  Yeah,I-I g-- I guess that is what happened, but I-I don't get why I would do that.",2,4
Pencilvester,"Everybody makes mistakes, Rick. Why do you think I have one of these? ",2,4
Beth,"That's it. Photos. Hard evidence.  You're not in any of my photos, Mr. Poopybutthole.",2,4
Mr. Poopybutthole,"Well, what do you know about this? You're not in any of mine.",2,4
Summer,All I have are pictures of me and my friends from school.  What? What teenage girl has pictures of her family? It's not like we're Mormon or dying.,2,4
Frankenstein,I will admit it's suspicious that Summer's only friend is a magic ballerina lamb that we've never seen.,2,4
Tinkles,Summer!,2,4
Summer,Tinkles! It's past mybedtime.,2,4
Tinkles, Not in never past bedtime land! Here we go!,2,4
Summer,Ooh! Ooh! Ooh! Ooh! Ooh! Ooh! Ooh!,2,4
Gary,"Summer, we're trying to sleep.",2,4
Summer,It was Tinkles! Tinkes?,2,4
Rick,"That is su-- [belches] -- suspicious. We're always hearing about this Tinkles character, but we never get to –",2,4
Tinkles,"Hi, everybody. I'm Tinkles, and these are my friends. ",2,4
Summer,"See, everyone? Tinkles is real. That means so am I.",2,4
Frankenstein,I was on the wrong side of the pitchfork on this one.,2,4
Jerry,"Okay, look, we shouldn't need evidence or logic to know who's family and who isn't. I know who the Smiths are. I've known Beth since high school. And her husband, Sleepy Gary, is hands down my absolute best friend.",2,4
Sleepy Gary,"Thanks, Jerry. Beyond that, no offense to any of you, but all bets are off.",2,4
Rick,"Look, I'm not used to being this unsure for this long. I'm just gonna aim for shoulders starting with the weird girl. ",2,4
Summer,Aah! Grandpa Rick!,2,4
Rick," Hold still, ""Summer.""",2,4
Gary,"Rick, that is my daughter.",2,4
Rick,"Oh, yeah? Well, what if you just think that, Sleepy Gary? I've known you for 15 years. Don't make me hurt you.",2,4
Sleepy Gary,"Rick, these are our family and friends, the people we barbecue with. Have you forgotten the barbecue?",2,4
Rick,"Wait, why would you want me to -- You're one of them, aren't you?",2,4
Hamurai,"Rick, you love those barbecues, Rick. You love them. Hai!",2,4
Amish Cyborg,"Remember it, Rick?",2,4
Rick,"Shut up, Hamurai! Shut up, Amish Cyborg! What is this? '90s Conan?",2,4
All,Remember the barbecue. Remember the barbecue. Remember the barbecue.,2,4
Rick,"You know what, Pencilvester? It took me my whole life to realize it, but I love barbecuing.",2,4
Pencilvester,"You're good at it, Rick.",2,4
Rick,"Watch me, baby. I'm like Tom Cruise from, um, ""Cuisine"" or w-whatever that movie's called where he makes drinks. Yeah, check me out. I'm like Tom Cruise from ""Cuisine.""  Yeah. Is that what it's called? ""Cuisine""?",2,4
Pencilvester,"Wow! Hey, everybody. Let's give it up for the grill master, Rick! Rick! Rick! Rick! ",2,4
Rick,"Wait.  Noooooo! Shoot. Now look. It's like a ""Where's Waldo?"" page. Can you find me? Check out all these zany characters. We'll be right back after these messages.",2,4
Sleepy Gary,I think you should put down the gun and we should get you to a doctor. What do you say we take down these blast shields?,2,4
All,Yeah.,2,4
Rick,"Can't do that, Sleepy Gary. All right, everybody listen to me. I don't know if any of you guys are real, but this house has been infested with fake loved ones that spread through fake memories, and our planet will be destroyed if they get out. ",2,4
Pencilvester,"But Rick, even you have to admit you do tend to overreact to stuff.",2,4
Rick,"You guys, we got to hurry. I just got back from Walmart. They're selling Nintendo 3ds systems for $149.99 on sale, plus every time you buy one, you get a $50 gift card. Brings the total price down to $110 after tax. Now, listen, we can flip those sons of bitches for 230 bucks apiece easy! They're all limited-edition ""Zelda"" ones. Hurry! Hurry! Come with me! We can be rich, and we also all get to keep one and we can play Nintendo games! Nintendo, give me free stuff.",2,4
Rick,"Okay, yes, I definitely remember doing that, but also, I would never do that.",2,4
Pencilvester,"Don't overreact, Rick.",2,4
Jerry,"Sleepy Gary, a word?",2,4
Sleepy Gary,"Sure, Jerry. Rick, keep a level head, okay? 'Cause I'll tell you a secret about Frankenstein -- He's actually Frankenstein's monster.",2,4
Jerry,"Sleepy Gary, m-my head is filled with memories of our friendship. I'm convinced that you're Beth's husband and I'm your friend, but if those memories can't be trusted, then...",2,4
Sleepy Gary,"Jerry, just say it.",2,4
Jerry,"Sleepy Gary, how do we know I'm real?",2,4
Sleepy Gary,"Jesus, Jerry. No, you're real. Hey, look at me. Now, I don't know which way is up out there, but I know us, and you're real, Jerry. Remember our vacation?",2,4
Gary,They're filming that new Star Wars movie down the coast. Should we check it out?,2,4
Jerry,Sure. Why not?,2,4
Gary,Maybe we'll see Chewbacca.,2,4
Jerry,I'd like that.,2,4
Jerry,What are we doing?,2,4
Gerry,I don't give a damn what else happens out there. You and I are going to survive this.,2,4
Jerry,"Okay. Hey, we agreed. Never in the house.",2,4
Frankenstein,"That's a cool watch there, Rick. Can I check it out?",2,4
Rick,"Uh, no thank --  Okay. Trying tofigure out how to lower the blast shields, huh? Anybody here think it's suspicious that a lot of people in here can't wait to get out of here?",2,4
Frankenstein,"Ah, you're paranoid, Rick. You've been paranoid since 'nam.",2,4
Rick,"So, what are you gonnado when you rotate back to the world, Frankenstein?",2,4
Frankenstein,Shi-i-i-i-t. I'mma bust a -- ,2,4
Rick,"No! Get out of my head, parasite! No! Drop it. Give me the gun, Frankenstein!  Give it back!",2,4
All,Yeah!  Frankenstein!,2,4
Rick, Is anyone here even real? Am I the only real person on earth?!,2,4
Reverse Giraffe,"Maybe. Or maybe, just maybe, we're all real. You know me. I'm reverse giraffe. I have a short neck and legs. I went to college with Hamurai.",2,4
Hamurai,Hai!,2,4
Reverse Giraffe,I saved Ghost In A Jar's life in Vietnam.,2,4
Ghost in a Jar,Boo rah!,2,4
Reverse Giraffe,"And Beth, how many times have I been a shoulder for you to cry on?",2,4
Beth, Too many.,2,4
Reverse Giraffe,"Okay, so maybe we're just all fake.",2,4
Mrs. Refrigerator,That don't make no sense!,2,4
Reverse,"Giraffe: Or maybe, there's only one deceiver here -- The person that keeps telling us the path to salvation is being held prisoner and mistrusting each other.",2,4
Rick,"Hey, don't blame me! I tried to shoot Summer 10 minutes ago!",2,4
Reverse Giraffe,"I know we all have beloved memories of Rick, but are we really supposed to believe that a mad scientist inventor with a flying car just showed up on our doorstep after being gone for years?",2,4
Morty,"Yeah, you know, he does have a lot of really weird, made-up sounding catchphrases.",2,4
Rick,"Wubba lubba dub dub! Ricky ticky tavi, beyotch! And that's thewa-a-a-a-y the news goes. Hit the sack, jack. Uh-oh! Somersault jump. Aids! Andthat's why I always say shum shum shlippedy dop! Grassss tastes bad-ah. No jumpin' in the sewer. Burger time! Rubber baby baby bunkers! Lick, lick, lick my balls!  yeah! Say that all the time.",2,4
 All, That's a fake-ass catchphrase right there.,2,4
Beth,And don't forget his incredibly vague back story.,2,4
Rick,"Beth, I'm your father!",2,4
Beth,"Oh, are you, dad? Are you?",2,4
Morty,"Rick, if you want to prove you're real, just do what any of the rest of us would do and -- and -- and open the blast shields and let us the hell out of here!",2,4
Rick,"Why don't you make me, implausibly naive pubescent boy with an old Jewish comedy writer's name?",2,4
Mrs. Refrigerator,In your face!,2,4
Morty,"Give me the gun.  I'm not doing this in front of Pencilvester. Bring him to the garage.  All right, you listen to me, you son of a bitch parasite scum. We could either do this the easy way or the hard way. You know, y-y-y-- do you want to live? Then open the blast shield doors.",2,4
Rick,"Shut up, Morty, you brainwashed, little turd that might not even be real because I'm brainwashed, too.",2,4
Morty,"You know, Rick, this isn't easy for us. You know, w-we all remember you as a friend.",2,4
Rick,"Oh, oh, oh, really? Well, I remember you as a whiny, little piece of shit, Morty!",2,4
Morty,"Oh -- oh, yeah?",2,4
Rick,"Yeah! I've got about a thousand memories of your dumb little ass and about six of them are pleasant. The rest is annoying garbage. So why don't you do us both a favor and pull the trigger? Do it! Do it, motherfucker! Pull the fucking trigger!",2,4
Duck with Muscles,"Oh, wow. Baby Wizard was a parasite? He set me up with my wife. ",2,4
Rick,What the hell?,2,4
Morty,"I figured it out, Rick! The parasites can only create pleasant memories. I know you're real because I have a ton of bad memories with you!",2,4
Rick,"Holy crap, Morty, you're right.",2,4
Morty,Is -- is -- isn't that what you were trying to make me understand by yelling at me?,2,4
Rick,"Well, yeah, duh-doy. T-took you long enough. ",2,4
Rick,"Now let's go, Morty. We got a lot of friends and family to exterminate. ",2,4
Morty,Everybody remain calm! This isgonna take some explaining.,2,4
Rick,We need to kill everyone that we can only remember fondly. Who's got a bad memory about Mrs. Refrigerator?,2,4
Mrs Refrigerator,"I-I-I-I -- everyone has bad memories of me. You remember that one time?  Ooh, man, we couldn't stop screaming.",2,4
Beth,"Uh, roller coasters aren't bad, Mrs. Refrigerator. They're thrilling. And you've been a perfect companion to me my entire life.",2,4
Mrs Refrigerator,"The jig is up!  get me out of here. Get me out of here! Aah!   Oh, shit!",2,4
Rick,"Everybody back! If you're not a parasite, you have nothing to fear. What about Summer?",2,4
Summer,Why am I always your go-to?,2,4
Summer,Never go in my room again.,2,4
Morty,I didn't!,2,4
Morty,She's real. She's my bitch of a sister.,2,4
Summer,Nice.,2,4
Summer,"Mom, are you driving me to --",2,4
Beth,"Hmm? Yeah, yeah, yes. What time?",2,4
Summer,"Oh, my god. Are you drunk?",2,4
Beth,"  What're you, my life coach?",2,4
Summer,Your what?,2,4
Summer,"Oh! God! Oh. Oh, my gosh. Oh! God! Mom!",2,4
Beth,"Sweetheart, are you okay? I didn't mean to --",2,4
Summer,I'm gonna have a bruise! It's picture day!,2,4
Beth,"It's not, don't overreact. I can clean it up.",2,4
Summer, I want the police to take me!,2,4
Summer,"Morty, give a gun to the lady that got pregnant with me too early and constantly makes it our problem.",2,4
Beth,"Thank you, sweetie.",2,4
Cross Teddy Bear,"Beth, Beth, please!",2,4
Beth,I thought it was too good to be true that we'd have compatible kidneys.     ,2,4
Rick," Come on, man. Haven't we ever had an uncomfortable silence or an awkward fart on a road trip? Come on, Pencilvester. Give me anything.",2,4
Pencilvester,"Rick, I'm Pencilvester. Listen to that name. You can't kill me.",2,4
Rick,You're right.  Kill Pencilvester.,2,4
Tinkles,"Summer, I've always loved you!",2,4
Summer,Yep.    ,2,4
Summer,"Oh, my god!",2,4
Morty,I-I-I thought you went to a concert!,2,4
Summer,We forgot the tickets! Why in the kitchen?!,2,4
Morty,I do it everywhere! Stop shaming me!,2,4
Summer,You're not the victim here!,2,4
Morty,"I hate you, and I was thinking about your friend Grace!",2,4
Summer,Aaaaaah!,2,4
Mr. Beauregard,Ah. Master Rick. Remember when you weren't going to shoot me? ,2,4
Rick,I guess I did the butler! Ha ha! Does -- d-does that scan?,2,4
Ghost in a Jar,"Oh, I-I get it. It's a play on ""the butler did it.""",2,4
Rick,"Thanks, ghost in a jar. You always were good at pointing out potentially obscure comedy.  ",2,4
Jerry,"You got to hide me, Sleepy Gary.",2,4
Sleepy Gary,"Don't worry. I have a plan. If we can get to my boat, there's a -- ",2,4
Jerry,No. No! Send me to Gary. I want to be with Gary.,2,4
Beth,Whoa. What the hell?,2,4
Jerry,Look out for that homeless guy!,2,4
Beth,Open the door! Open the door! Open the door!,2,4
Jerry,There isn't time! Just run!,2,4
Beth, Get out here and help me!,2,4
Jerry,They say you shouldn't do that! Just run!,2,4
Beth,"Ugh. Sorry, Jerry. You're real.",2,4
Jerry, I'm a parasite!,2,4
Beth,"Yeah, but you're real.",2,4
Jerry,,2,4
Beth,"Uh, uh, I need time to forget about Sleepy Gary.",2,4
Jerry,"Me, too.",2,4
Rick,"From now on, let's all be careful to wash our hands when we get back from outer space. That goes for everyone.",2,4
Jerry,This is depressing. We killed every good person in the house. We're what's left? What a family.,2,4
Rick,"At least we're real, Jerry. We're real. Rikki tikki tavi!",2,4
Mr. Poopybutthole,"Ooh, whee! Amen to that. Now, this little poopypants is hungry. Will somebody pass me a pork chop? ",2,4
Mr. Poopybutthole,"Huh. I-is -- is something wrong, Beth?",2,4
Rick,"No, Beth!",2,4
Mr. Poopybutthole,"Oh, fuck.",2,4
Beth,"Wait, but I --",2,4
Mr. Poopybutthole,"Oh, Beth! Why?!",2,4
Jerry,"I need an ambulance! There's been a shooting. My wife shot... Uh, my -- my wife shot a long-time family friend.",2,4
Mr. Poopybutthole,Why?,2,4
Summer,"Oh, my god, oh, my god, oh, my god, Mr. Poopybutthole.",2,4
Beth,I-I thought --,2,4
Morty,Keep breathing!,2,4
Mr. Poopybutthole,"Oh, god. What's happening?",2,4
Morty,Look at me! Look at me! Don't -- don't fall asleep!,2,4
Mr. Poopybutthole,"Is -- is this what bleeding to death is? Oh, whee. Is this how I die?",2,4
Rick,"Oh, geez! Oh, my god!",2,4
Mr. Poopybutthole,"Why would you do this? Beth. It's not supposed to hurt. I-I thought...  Ooh, whee.",2,4
Beth,"Oh, he -- he's looking a lot better.",2,4
Rick,"Listen, Beth, don't torture yourself. I made a similar mistake years ago, but, you know, on a planetary scale.",2,4
Beth,"Is, um, is he mad at me?",2,4
Rick,"He's not pressing charges. I mean, that's got to be the ""you shot me"" equivalent of not being mad.",2,4
Beth,Can he have visitors?,2,4
Doctor,"He'd like to be alone. He told me to tell you he's sorry you didn't have bad memories of him? If you love him, you should leave. ",2,4
Rick, And that's the wa-a-a-a-y the news goes.,2,4
