name,line,season no.,episode no.,episode name
Beth,You two are hungry.,5,2,Mortyplicity
Rick,Big day.,5,2,Mortyplicity
Morty,We're gonna kill God.,5,2,Mortyplicity
Jerry,Come again?,5,2,Mortyplicity
Rick,"Christian God is real, he's been asleep for thousands of years. We're gonna sneak up there and kill him.",5,2,Mortyplicity
Morty,Mob style.,5,2,Mortyplicity
Rick,Whack his ass.,5,2,Mortyplicity
Summer,Can I kill God?,5,2,Mortyplicity
Rick," Fuck off, Summer.",5,2,Mortyplicity
Morty," Pfft, as if!",5,2,Mortyplicity
Jerry,"Beth, do you hear this?",5,2,Mortyplicity
Beth,"Sweetie, don't get all worked up before your job interview.",5,2,Mortyplicity
Rick,Job interview?,5,2,Mortyplicity
Jerry,"Yes, is that so hard to believe?",5,2,Mortyplicity
Rick,"Actually, yeah. Something's off.",5,2,Mortyplicity
Beth,No!,5,2,Mortyplicity
Morty,Shit!,5,2,Mortyplicity
Mr. Always Wants To Be Hunted,"Hunt me, hunt me, somebody hunt me!",5,2,Mortyplicity
Rick,Don't hunt him to completion!,5,2,Mortyplicity
Mr. Always Wants To Be Hunted,Hunt me! ,5,2,Mortyplicity
Rick,"Oh. Shit. Everyone start packing, no time to explain.",5,2,Mortyplicity
Jerry,Rick?,5,2,Mortyplicity
Beth,Dad? What's wrong?,5,2,Mortyplicity
Rick,Someone just killed a decoy family.,5,2,Mortyplicity
Mr. Always Wants To Be Hunted,I'm Mr. Always Wants To Be Hunted!,5,2,Mortyplicity
Rick,"Yes, and how interesting did you think that would stay?",5,2,Mortyplicity
Morty,You made clones of us?,5,2,Mortyplicity
Rick,"Decoys, Morty. Very different.  Very different, sweetie.",5,2,Mortyplicity
Morty,Different h-ow! ,5,2,Mortyplicity
Beth,"Yeah, dad. Different h-ow?",5,2,Mortyplicity
Rick,"Lotta people out there want a piece of this, sweetie. I'm cool, and it makes them feel bad. So, y'know, after that trouble with Space Beth, I made passable copies of the family and placed them around the country as a buffer zone to protect–",5,2,Mortyplicity
Jerry,But why does he always want to be hunted?,5,2,Mortyplicity
Beth,Jerry–,5,2,Mortyplicity
Morty,"It's not important right now, dad!",5,2,Mortyplicity
Jerry,"Sure, guys. Rick can make secret decoys of the family and place them all around the country, but fuck me if I have questions about the starfish man in a target suit.",5,2,Mortyplicity
Summer,So thankful this is my Saturday.,5,2,Mortyplicity
Jerry,Why was he in that cryopod?,5,2,Mortyplicity
Rick,"The cryopod is what confuses you? Jerry, can't you see we've moved on to higher stakes?",5,2,Mortyplicity
Jerry,"Well, I don't see any stakes at all.",5,2,Mortyplicity
Rick,"Ah, shit!",5,2,Mortyplicity
Jerry,"Guess we'll just be saying ""ciao bella"" to our deposit, then!",5,2,Mortyplicity
Rick,"Shut up and pack, Jerry. Squids just killed a decoy family.",5,2,Mortyplicity
Beth,Decoy family?,5,2,Mortyplicity
Morty,Is this why you wanted to get out of town?,5,2,Mortyplicity
Rick,"You think I'd lie to you about why we're on vacation, Morty? I wouldn't lie to you.  Well, that's a lie. Huh.",5,2,Mortyplicity
Summer,So someone out there is trying to kill us?,5,2,Mortyplicity
Rick,"Someone's always trying to kill us. That's what the decoys are for. They go on fun, self-contained terrestrial adventures, and– take bullets meant for us. Shit.",5,2,Mortyplicity
Jerry,Ahhh! No!,5,2,Mortyplicity
Rick,"Ah, shit. Decoy family.",5,2,Mortyplicity
Morty,I think dad was still outside. What's a decoy family?,5,2,Mortyplicity
Rick,"Hard concept, Morty. Hard concept. I've never really cracked it, if I'm being honest. Decided it was maybe better as a kind of kinetic mislead for another special episode!",5,2,Mortyplicity
Morty,"Oh, cool!",5,2,Mortyplicity
TV,We now return to When Wolf.,5,2,Mortyplicity
Rick,"Woah, a time traveling wolf? Count me in.",5,2,Mortyplicity
Morty,"Yeah, I never thought of the ""were"" in ""werewolf"" like ""who, what, when and where!"" Clever wordplay!",5,2,Mortyplicity
Dracula,When Wolf!,5,2,Mortyplicity
When Wolf,Dracula! You know why I'm here.,5,2,Mortyplicity
Dracula,"I'm safe here, Ian! Christianity hasn't been invented yet, crosses are just baby t's to me now! I got out. Please, don't invite me back in.",5,2,Mortyplicity
Morty,"Huh, kinda mucked it up with this Dracula stuff.",5,2,Mortyplicity
Rick,"You're right. It shows a lack of faith in their core concept. I'd much rather watch When Wolf go to the 20's and invest in the stock market, but then eat people.",5,2,Mortyplicity
Morty,Yeah.,5,2,Mortyplicity
Rick,"Look, if you really want to know what happened to Beth's mom, it– whoop. Squid aliens just killed a decoy family.",5,2,Mortyplicity
Beth,Decoy family? You made more clones?,5,2,Mortyplicity
Rick,"Clones are, like, thirty-two percent of all sci-fi, sweetie. You don't get to own clones. Yes, I made some decoys. They're exactly like us, with a few tweaks and a backdoor shutdown.",5,2,Mortyplicity
Beth,Do you just get hard creating sentient life?,5,2,Mortyplicity
Rick,"Actually, I get hard protecting my family!",5,2,Mortyplicity
Summer,Ew.,5,2,Mortyplicity
Morty,"Ugh, gross!",5,2,Mortyplicity
Beth,"Yeah, now everyone gets killer doppelgängers. Cool deal.",5,2,Mortyplicity
Rick,"The decoys are harmless, Beth.",5,2,Mortyplicity
Summer,"Grandpa Rick, do the decoys know they're decoys?",5,2,Mortyplicity
Rick,"They wouldn't be very good decoys if they did, Sum-sum.",5,2,Mortyplicity
Summer,So they think they're us?,5,2,Mortyplicity
Rick,That's the deal.,5,2,Mortyplicity
Summer,"How do you know we're not decoys?  Oh my god, we're decoys.",5,2,Mortyplicity
Rick,"Oh, god! We might not be real! We might be decoys! Morty, quick!",5,2,Mortyplicity
Morty,What do I do?,5,2,Mortyplicity
Rick,"My failsafe, Morty. My final, secret failsafe. It proves I'm real, you have to help me, I'd never joke about this.  There's a barcode, Morty. A barcode on the interior of my left ass cheek.",5,2,Mortyplicity
Morty,What?,5,2,Mortyplicity
Rick,"Morty, please, I'm begging you!",5,2,Mortyplicity
Morty,I'm not looking at your ass!,5,2,Mortyplicity
Rick,"Please, Morty, is it there? God damn it!  Just tell me if I'm real!",5,2,Mortyplicity
Summer,"Morty, do it!",5,2,Mortyplicity
Morty,Gross!,5,2,Mortyplicity
Beth,Dad!,5,2,Mortyplicity
Rick,"Summer, you fucking idiot. We're not decoys.",5,2,Mortyplicity
Morty,Why did I get punished?,5,2,Mortyplicity
Rick,"A, decoys don't build decoys, and B, you think the mere suggestion I'm fake would break me? Christ, I'm not your mom.",5,2,Mortyplicity
Beth,Fuck off.,5,2,Mortyplicity
Rick,"Jeez, these guys really wanna kill me bad. Alright, here's the plan. We're gonna hide out with a decoy family, and when these squids show up, we jump their asses. Jerry! Come on! Family emergency!",5,2,Mortyplicity
Jerry,"A bigger emergency than my lemon squares not setting? They're gluten free, sugar free, and lemon free!",5,2,Mortyplicity
Decoy Rick,"Think you got the wrong house, bro.",5,2,Mortyplicity
Rick,"Analysis mode, password 8-0-0-8-5.",5,2,Mortyplicity
Beth,Kind of expected a funnier password.,5,2,Mortyplicity
Rick,I didn't plan on showing them off.,5,2,Mortyplicity
Morty," Damn, like Westworld!",5,2,Mortyplicity
Rick,"Yes, Morty, like Westworld. But don't fuck them.  Summer!",5,2,Mortyplicity
Summer,"Whatever, creep. I'm gonna see how accurate you got my room.",5,2,Mortyplicity
Morty,"Rick, when you say you made an exact replica of the house, did you mean like, you know, an exact replica?",5,2,Mortyplicity
Rick,"I know about the Yosemite t-shirt, Morty.",5,2,Mortyplicity
Morty,Shit.,5,2,Mortyplicity
Rick,"You know you can use tissues, right?",5,2,Mortyplicity
Morty,I can't finish without it.,5,2,Mortyplicity
Beth,So you do know what a happy family looks like.,5,2,Mortyplicity
Rick,I know what a fake one looks like.,5,2,Mortyplicity
Morty,"Uh, Rick?",5,2,Mortyplicity
Rick, What?,5,2,Mortyplicity
Morty,"Did you use this house to make decoys, too?",5,2,Mortyplicity
Rick," What? Morty, why the fuck would I do that? You think I'd go somewhere else to–  okay, well, I am now less worried about the squids.  Isolate head at normal processing.  What the fuck do you think you're doing down there? You're making decoys?",5,2,Mortyplicity
Decoy Rick,"Wait, how do you—oh god, Summer was right.",5,2,Mortyplicity
Rick,Everyone in the car.,5,2,Mortyplicity
Beth,You said decoys didn't make decoys.,5,2,Mortyplicity
Rick,"And usually, they don't, but again, it's nothing to worry about, because decoys are harmless.  Just have to, y'know, visit the rest and terminate the program.",5,2,Mortyplicity
Beth,"Terminate? They're alive, dad!",5,2,Mortyplicity
Rick,"And at some point, they won't be. That's how existing works. What, are you going to save every stray cat?",5,2,Mortyplicity
Beth,"No, but I can resist making more of them in a lab.",5,2,Mortyplicity
Rick,"Ugh. Look, save the empathy. It's more termite infestation than Blade Runner.",5,2,Mortyplicity
Summer,I still think we're decoys.,5,2,Mortyplicity
Morty,You just want an excuse to stop trying.,5,2,Mortyplicity
Summer,"Yeah, and?",5,2,Mortyplicity
Jerry," Oooh, there's a handsome fellow!",5,2,Mortyplicity
Rick,Uh-oh.,5,2,Mortyplicity
Beth,I thought you made them harmless.,5,2,Mortyplicity
Rick,I don't remember making this one. ,5,2,Mortyplicity
Decoy Jerry,"Oh, hi, Rick! Family...me...? Hey, when did you all leave?",5,2,Mortyplicity
Rick,"Analysis mode, 8-0-0-8-5.",5,2,Mortyplicity
Decoy Jerry,Hmm?,5,2,Mortyplicity
Rick,"Nothing, buddy. You gotta stop with all that coffee, it's making you loopy! Happy analysis mode! ",5,2,Mortyplicity
Decoy Jerry,"Happy analysis mode to you, too!",5,2,Mortyplicity
Decoy Rick,"Think you got the wrong house, bro.",5,2,Mortyplicity
Rick,"Analysis mode, password 8-0-0–",5,2,Mortyplicity
Decoy Rick,"Shit, you think I'm a decoy?",5,2,Mortyplicity
Rick,How do you know about the decoys?,5,2,Mortyplicity
Decoy Rick,They were my idea!,5,2,Mortyplicity
Decoy Jerry," Well, now I know you're pranking me.",5,2,Mortyplicity
Second Rick,"Analysis mode, password 8 equals sign equals sign capital ""d"".",5,2,Mortyplicity
Rick,Hide.,5,2,Mortyplicity
Morty,What?,5,2,Mortyplicity
Rick,Hide!,5,2,Mortyplicity
Second Morty,"Wow, like Ex Machina!",5,2,Mortyplicity
Second Rick,"Yes, Morty, like Ex Machina. But don't fuck them. Summer!",5,2,Mortyplicity
Second Summer,"Whatever, weirdo. I'm gonna see how wrong you got my room.",5,2,Mortyplicity
Second Beth,So you do know what a loving family looks like.,5,2,Mortyplicity
Second Rick,"A simulated one, yes.",5,2,Mortyplicity
Beth,Why are we hiding?,5,2,Mortyplicity
Rick,"He thinks he's me, and I was about to start terminating decoys.",5,2,Mortyplicity
Beth,But we're not decoys!,5,2,Mortyplicity
Rick,"Sure, tell him that.",5,2,Mortyplicity
Second Morty,"Rick, did you make decoys here, too?",5,2,Mortyplicity
Second Rick,"Morty, for what reason could I have for...what the– isolate head at normal processing!  You dumb asshole, you made decoys?",5,2,Mortyplicity
Decoy Rick,"Again, they were my idea. Wait, what happened to the other guy?",5,2,Mortyplicity
Second Rick,Other guy?,5,2,Mortyplicity
Decoy Rick,"Wait, that means I'm a decoy. Fucking Summer.",5,2,Mortyplicity
Second Rick,Check the closets.,5,2,Mortyplicity
Second Rick,They've gone rogue!,5,2,Mortyplicity
Rick,Killer decoys!,5,2,Mortyplicity
Second Rick,Take out the decoys!,5,2,Mortyplicity
Decoy Rick,Shit! Someone put a gun in my teeth!,5,2,Mortyplicity
Second Beth,"Stop shooting, dad! They're us, we don't have to fight them!",5,2,Mortyplicity
Second Rick,"Classic prisoner's dilemma, Beth. I'm a cool guy, I, you know, I can talk it out. But that asshole–",5,2,Mortyplicity
Rick,Me? You decoy piece of shit. You're the one that shot first!,5,2,Mortyplicity
Beth,"We can work this out, just stop trying to kill each other!",5,2,Mortyplicity
Second Rick,"Sorry, decoy Beth, but this only ends one way, with one of us accepting we're a decoy.",5,2,Mortyplicity
Rick,"And once he knows he's a decoy, he know he won't be safe until he's killed the real Rick, along with anyone who think he's him.",5,2,Mortyplicity
Second Rick,"Pretty perceptive, for a decoy.",5,2,Mortyplicity
Rick,This is getting nowhere. Let's charge their asses on three.,5,2,Mortyplicity
Morty,Do we have to do this?,5,2,Mortyplicity
